Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Ligue,Saison,Home_form,Away_form,Home_avg_scored,Home_avg_conceded,Away_avg_scored,Away_avg_conceded,Form_diff,Avg_scored_diff,Avg_conceded_diff
2020-10-03,Valencia,Betis,0,2,A,0,1,A,5,17,2,8,4,7,2,2,0,0,LL,20_21,7,6,1.75,1.25,1.25,1.5,1,0.5,-0.25
2020-10-03,Chelsea,Crystal Palace,4,0,H,0,0,D,17,4,6,0,8,5,2,0,0,0,PL,22_21,4,6,2.0,2.0,1.67,1.0,-2,0.33000000000000007,1.0
2020-10-03,Everton,Brighton,4,2,H,2,1,H,11,11,6,3,3,10,0,1,0,0,PL,22_21,9,3,2.67,1.0,2.0,2.0,6,0.6699999999999999,-1.0
2020-10-03,Leeds,Man City,1,1,D,0,1,A,12,23,7,2,7,10,2,1,0,0,PL,22_21,6,3,2.67,2.33,2.5,3.0,3,0.16999999999999993,-0.6699999999999999
2020-10-03,Udinese,Roma,0,1,A,0,0,D,9,8,5,3,4,1,1,0,0,0,SA,20_21,0,2,0.0,1.5,1.0,1.0,-2,-1.0,0.5
2020-10-03,Newcastle,Burnley,3,1,H,1,0,H,10,7,5,3,3,4,2,3,0,0,PL,22_21,4,0,1.0,1.33,1.0,2.5,4,0.0,-1.17
2020-10-03,Valladolid,Eibar,1,2,A,1,1,D,9,11,3,5,3,4,2,3,0,1,LL,20_21,2,1,0.5,1.25,0.5,1.25,1,0.0,0.0
2020-10-04,Atalanta,Cagliari,5,2,H,4,1,H,19,7,14,3,3,9,0,0,0,0,SA,20_21,6,1,4.0,1.5,0.5,1.5,5,3.5,0.0
2020-10-04,Benevento,Bologna,1,0,H,0,0,D,6,13,3,7,4,10,2,1,0,0,SA,20_21,3,3,2.5,3.5,2.0,1.5,0,0.5,2.0
2020-10-04,Lazio,Inter,1,1,D,0,1,A,11,10,5,4,7,8,3,4,1,1,SA,20_21,3,6,1.5,2.0,4.5,2.5,-3,-3.0,-0.5
2020-10-04,Parma,Verona,1,0,H,1,0,H,7,8,5,5,7,6,1,1,0,0,SA,20_21,0,4,0.5,3.0,0.5,0.0,-4,0.0,3.0
2020-10-04,Milan,Spezia,3,0,H,0,0,D,10,3,5,2,4,6,1,2,0,0,SA,20_21,6,3,2.0,0.0,1.5,2.0,3,0.5,-2.0
2020-10-04,Man United,Tottenham,1,6,A,1,4,A,5,22,2,8,2,4,2,1,1,0,PL,22_21,3,4,2.0,2.5,2.0,1.33,-1,0.0,1.17
2020-10-04,Barcelona,Sevilla,1,1,D,1,1,D,12,13,5,1,6,5,1,1,0,0,LL,20_21,6,6,3.5,0.0,2.0,0.5,0,1.5,-0.5
2020-10-04,Wolves,Fulham,1,0,H,0,0,D,14,10,5,2,6,2,1,1,0,0,PL,22_21,3,0,1.0,2.33,1.0,3.33,3,0.0,-1.0
2020-10-04,Cadiz,Granada,1,1,D,0,1,A,14,13,4,5,2,5,2,2,0,0,LL,20_21,6,6,1.0,1.25,1.67,2.33,0,-0.6699999999999999,-1.08
2020-10-04,Levante,Real Madrid,0,2,A,0,1,A,11,13,4,3,4,6,2,1,0,0,LL,20_21,3,7,1.67,2.0,1.33,0.67,-4,0.33999999999999986,1.33
2020-10-04,Alaves,Ath Bilbao,1,0,H,0,0,D,8,8,3,0,0,6,2,3,1,0,LL,20_21,1,3,0.5,1.5,0.67,1.33,-2,-0.17000000000000004,0.16999999999999993
2020-10-04,Aston Villa,Liverpool,7,2,H,4,1,H,18,14,11,8,2,7,2,1,0,0,PL,22_21,6,9,2.0,0.0,3.0,1.33,-3,-1.0,-1.33
2020-10-04,Leicester,West Ham,0,3,A,0,2,A,4,14,0,6,6,4,2,2,0,0,PL,22_21,9,3,4.0,1.33,1.67,1.33,6,2.33,0.0
2020-10-04,Southampton,West Brom,2,0,H,1,0,H,13,5,7,2,5,1,2,1,0,0,PL,22_21,3,1,1.0,2.0,1.67,3.67,2,-0.6699999999999999,-1.67
